Species|	Tot. length|	Largest scaffold|	N10 length|	N10 number|	N50 length|	N50 number|	N90 length|	N90 number|
AAUR|	350,330,594|	22,690,499|	21,065,757|	2|	13,236,083|	11|	5,499|	2,902|
APUR|	304,429,207|	41,380,077|	41,380,077|	1|	26,696,440|	5|	50,819|	14|
AVIR|	470,107,380|	25,019,036|	24,601,988|	2|	17,608,045|	11|	2,344|	22,446|
HLIG|	311,043,946|	26,879,809|	21,141,814|	2|	16,590,429|	8|	9,930|	214|
HRUB|	327,929,407|	29,488,006|	25,357,459|	2|	17,162,222|	8|	17,280|	228|
HQUA|	290,059,369|	21,219,412|	15,646,358|	2|	13,249,058|	10|	4,022|	6,054|
LLEU|	283,111,487|	27,342,619|	21,848,561|	2|	13,877,945|	8|	41,975|	19|
LMAR|	302,926,204|	20,544,363|	15,377,833|	2|	7,692,625|	15|	31,725|	51|
LFIG|	318,834,509|	34,263,369|	34,263,369|	1|	17,020,604|	8|	5,280|	1,284|
LVIE|	286,575,882|	35,722,830|	35,722,830|	1|	24,830,099|	5|	5,333|	984|
LZEP|	275,725,122|	25,729,413|	23,461,232|	2|	14,651,701|	7|	5,338|	1,795|
LPAU|	365,716,076|	41,377,013|	41,377,013|	1|	31,106,527|	5|	3,791|	5,277|
LOEN|	281,109,366|	29,315,781|	29,315,781|	1|	13,884,473|	9|	4,230,112|	22|
LMAL|	267,046,309|	34,372,178|	34,372,178|	1|	28,945,805|	5|	57,000|	13|
LCAL|	283,837,535|	21,743,198|	20,511,341|	2|	14,689,314|	9|	7,580|	531|
LALB|	289,555,301|	27,694,846|	26,518,496|	2|	14,869,788|	7|	4,694|	1,749|
NMEL|	298,732,867|	35,637,317|	35,637,317|	1|	19,732,370|	6|	59,726|	16|
