CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AntP	AbdP	HedP	DufP	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce152924	0	5	0	-0.3377	10075	intron	NA	gro	NA	0.01623	0.1559	0.08566	0.3195	(193;1;17)	(192;2;0)	(188;6;0)	(194;2;0)	(192;2;1)
ce140351	0	5	0	-0.1297	11024	intron	by	by	Bilateria	0.03657	0.0247	0.02769	0.1946	(347;9;35)	(367;12;0)	(375;7;9)	(382;6;6)	(375;7;0)
ce44129	0	5	0	-0.1602	11268	intron	Unc-89	LOC408830	Bilateria	0.009378	0.2006	0.2933	0.6189	(202;2;2)	(199;5;0)	(197;4;4)	(205;1;0)	(204;1;0)
ce161640	0	5	0	-0.3467	19019	intron	slmb	LOC100576156	Bilateria	0.04593	0.7025	0.03499	NA	(109;2;0)	(112;1;0)	(110;3;0)	(112;1;0)	(110;3;0)
ce47908	0	5	0	-0.1534	11109	promoter	side-IV	LOC412859	Bilateria	0.01836	NA	0.2333	NA	(139;16;0)	(150;2;0)	(151;1;0)	(151;1;5)	(149;3;0)
ce31485	0	5	0	-0.145	12354	intron	Rdl	LOC406124	Bilateria	0.03547	NA	0.1006	NA	(453;3;0)	(461;6;15)	(472;3;5)	(471;4;0)	(467;7;6)
ce44190	0	5	0	-0.2565	11076	intron	A0A0B4K7U0_DROME	NA	Neoptera	0.6415	0.1793	0.03117	0.8279	(152;2;0)	(158;3;0)	(166;3;0)	(167;2;0)	(170;4;0)
ce59126	0	5	0	-0.1679	12350	intron	FBpp0110217	NA	Bilateria	0.3128	0.01875	0.0762	0.7687	(287;10;6)	(290;8;11)	(289;8;2)	(298;1;0)	(296;1;1)
ce147165	0	5	0	-0.1176	11820	intron	Dmel\\CG43367	LOC724172	Bilateria	0.8002	0.08484	0.04071	0.8091	(343;6;65)	(352;3;2)	(346;7;10)	(259;1;94)	(350;3;1)
ce103614	0	5	0	-0.1746	14481	intron	FBpp0306012	LOC412878	Bilateria	0.4912	0.8701	0.02701	0.8203	(145;2;2)	(145;1;1)	(141;3;3)	(145;2;0)	(143;3;1)
ce89712	0	5	0	-0.2959	13692	intron	bru3	LOC409780	Bilateria	0.02671	NA	0.8953	NA	(135;6;0)	(140;5;3)	(142;3;7)	(144;2;0)	(143;3;0)
ce58750	0	5	0	-0.1537	15564	promoter	BcDNA:GH04120	LOC413672	Bilateria	0.2412	0.04667	0.02487	0.4546	(250;10;7)	(267;7;10)	(265;6;0)	(271;1;0)	(268;3;0)
ce39721	0	5	0	-0.0786	18181	intron	NA	NA	Hymenoptera	0.4262	0.6598	0.01954	0.6604	(487;7;6)	(495;14;65)	(517;14;20)	(538;2;15)	(546;5;13)
ce168772	0	5	0	-0.1376	16323	intron	NA	LOC100578611	Neoptera	NA	NA	0.007236	NA	(178;3;1)	(185;2;0)	(179;6;4)	(187;1;0)	(186;3;0)
ce5730	0	5	0	-0.1092	15982	intron	NA	LOC411495	Bilateria	0.03374	0.2822	0.9497	0.2494	(316;48;14)	(284;6;97)	(248;3;1)	(253;2;108)	(244;3;3)
ce12497	0	5	0	-0.3442	12840	promoter	NA	LOC100578888	Bilateria	0.9945	0.06769	0.00225	0.7106	(119;2;3)	(118;2;1)	(119;2;0)	(119;1;0)	(117;3;2)
ce89742	0	5	0	-0.0833	13692	intron	bru3	LOC409780	Bilateria	0.02671	NA	0.8953	NA	(273;1;34)	(279;2;1)	(278;1;0)	(278;1;0)	(277;2;0)
ce14634	0	5	0	-0.2249	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(152;10;202)	(239;5;10)	(248;7;16)	(250;1;0)	(255;3;0)
ce56149	0	5	0	-0.155	15449	promoter	GCS2alpha	LOC551205	Bilateria	0.03001	0.1331	0.2988	0.8248	(208;2;1)	(209;1;0)	(209;1;0)	(213;1;14)	(211;1;2)
ce142952	0	5	0	-0.1679	13584	promoter	Dyrk2	LOC412917	Bilateria	0.03424	0.01633	0.04753	0.449	(194;1;5)	(192;3;0)	(193;2;0)	(194;1;0)	(194;1;3)
ce16275	0	5	0	-0.1462	11309	intron	ham	LOC725792	Bilateria	0.006871	NA	NA	NA	(259;4;0)	(261;3;1)	(261;3;0)	(264;2;0)	(263;1;0)
ce147234	0	5	0	-0.1365	11820	intron	Dmel\\CG43367	LOC724172	Bilateria	0.8002	0.08484	0.04071	0.8091	(407;16;45)	(434;15;15)	(428;3;10)	(438;3;3)	(428;4;0)
ce146915	0	5	0	-0.1502	11802	intron	Naa15-16	LOC411163	Bilateria	0.0891	0.2333	0.04706	0.404	(257;1;0)	(258;4;0)	(258;4;0)	(258;4;0)	(260;2;0)
ce111448	0	5	0	-0.2401	13753	intron	Q7K4T8_DROME	LOC552015	Bilateria	0.4922	0.4846	0.371	0.04908	(162;2;0)	(161;1;1)	(157;3;0)	(159;1;0)	(159;1;0)
ce78127	0	5	0	-0.0953	14670	intron	mahe	NA	Bilateria	0.0393	0.8081	0.08943	0.5158	(621;5;3)	(627;3;0)	(635;5;1)	(512;2;127)	(488;2;149)
ce122568	0	5	0	-0.2229	16532	intron	NA	NA	Bilateria	0.02321	0.1692	NA	NA	(152;3;0)	(151;4;0)	(149;6;0)	(154;1;0)	(148;7;0)
ce161638	0	5	0	-0.2692	19019	intron	slmb	LOC100576156	Bilateria	0.04593	0.7025	0.03499	NA	(160;1;0)	(153;3;0)	(153;3;0)	(155;1;0)	(155;1;0)
ce167556	0	5	0	-0.1179	11486	intron	NA	LOC413278	Bilateria	0.03374	0.02506	0.06166	0.1564	(273;3;2)	(272;6;0)	(272;6;1)	(277;2;0)	(271;7;0)
ce82869	0	5	0	-0.2427	14525	promoter	p120ctn	LOC408311	Bilateria	0.4603	0.0009678	0.01175	0.02309	(135;3;2)	(135;1;0)	(133;3;0)	(133;3;0)	(135;1;0)
ce51046	0	5	0	-0.1348	18286	intron	NA	NA	Bilateria	0.7347	0.3243	0.2254	0.02498	(276;3;36)	(283;2;0)	(292;10;5)	(301;1;0)	(299;1;11)
ce65593	0	5	0	-0.2132	18257	intron	Dmel\\CG34354	LOC551623	Bilateria	0.00273	NA	0.4426	NA	(248;15;118)	(279;3;36)	(270;5;0)	(273;2;0)	(274;1;0)
ce59130	0	5	0	-0.1799	12350	intron	FBpp0110217	NA	Bilateria	0.3128	0.01875	0.0762	0.7687	(124;4;7)	(127;2;0)	(128;1;2)	(126;3;2)	(128;1;0)
